ein,Org Name,label,clean,token
271501578,RESPONDER RESCUE,0,responder rescue,respond rescu
351651794,CONSORTIUM FOR COMPUTING SCIENCES IN COLLEGES INC,0,consortium computing sciences colleges inc,consortium comput scienc colleg inc
383136693,ARAMAIC BIBLE TRANSLATION NFP,0,aramaic bible translation nfp,arama bibl translat nfp
521264054,ATEAZE SENIOR CENTER,0,ateaze senior center,ateaz senior center
202963563,CUMMING FORSYTH COUNTY MIRACLE LEAGUE INC,0,cumming forsyth county miracle league inc,cum forsyth counti miracl leagu inc
383852989,JEWISH WOMENS RENAISSANCE PROJECT INC,0,jewish womens renaissance project inc,jewish women renaiss project inc
455295727,ROYAL COLLEGE OF ART USA INC,0,royal college art usa inc,royal colleg art usa inc
237063820,THE OPPORTUNITY CENTER INC,0,opportunity center inc,opportun center inc
453537632,YDSC INC YDSC,0,ydsc inc ydsc,ydsc inc ydsc
232715167,SPRING FORD AREA SCHOOL DISTRICT EDUCATIONAL FOUNDATION,0,spring ford area school district educational foundation,spring ford area school district educ foundat
721309016,CAUSEWAY POLICE CHARITABLE FOUNDATION INC,0,causeway police charitable foundation inc,causeway polic charit foundat inc
640763761,COMMUNITY ACTION AND RESOURCE DEVELOPMENT INC,0,community action resource development inc,commun action resourc develop inc
223625904,ANSHE EMETH COMMUNITY DEVELOPMENT CORPORATION OF CENTRAL JERSEY INC,0,anshe emeth community development corporation central jersey inc,ansh emeth commun develop corpor central jersey inc
953671820,ELIZABETH LAFORCE SCHOLARSHIP AND GRANT FUND,0,elizabeth laforce scholarship grant fund,elizabeth laforc scholarship grant fund
136844298,CHILDRENS SPECIALIZED HOSPITAL FOUNDATION INC,0,childrens specialized hospital foundation inc,children special hospit foundat inc
311333783,KOKOSING GAP TRAIL INC,0,kokosing gap trail inc,kokos gap trail inc
274590173,ARIZONA CAREER PATHWAYS,0,arizona career pathways,arizona career pathway
526054829,NATIONAL SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION MARYLAND SOCIETY SAR,0,national society sons american revolution maryland society sar,nation societi son american revolut maryland societi sar
820398260,SCHOOL DISTRICT NUMBER 25 EDUCATION FOUNDATION INC,0,school district number education foundation inc,school district number educ foundat inc
330767457,WILDCAT BASEBALL DIAMOND CLUB,0,wildcat baseball diamond club,wildcat basebal diamond club
471309127,INTERNATIONAL ORTHOPEDIC CARE,0,international orthopedic care,intern orthoped care
910782393,ONE CALL FOR ALL,0,one call,one call
200426457,IGLESIA PENTECOSTAL LA SENDA ANTIGUA,0,iglesia pentecostal la senda antigua,iglesia pentecost la senda antigua
274514570,ACCELERATED ACHIEVEMENT ACADEMY OF EAST CINCINNATI,0,accelerated achievement academy east cincinnati,acceler achiev academi east cincinnati
742400627,TURNING POINT CENTER FOR YOUTH AND FAMILY DEVELOPMENT INC,0,turning point center youth family development inc,turn point center youth famili develop inc
421465030,WORKERS TOGETHER WITH GOD,0,workers together god,worker togeth god
10223755,BERWICK ACADEMY TRUSTEES,0,berwick academy trustees,berwick academi truste
626075837,SKYUKA HALL,0,skyuka hall,skyuka hall
320346990,LOS ANGELES VOLLEYBALL ORGANIZATION INC,0,los angeles volleyball organization inc,lo angel volleybal organ inc
460429990,CAPITOL CITY CHILDRENS CHORUS INC,0,capitol city childrens chorus inc,capitol citi children choru inc
591267050,BOYS AND GIRLS CLUBS OF THE EMERALD COAST INC,0,boys girls clubs emerald coast inc,boy girl club emerald coast inc
396040219,MILWAUKEE BAR ASSOCIATION FOUNDATION INC,0,milwaukee bar association foundation inc,milwauke bar associ foundat inc
521073386,EMERGE INC,0,emerge inc,emerg inc
203756498,VRS SOCIAL SERVICES INC,0,vrs social services inc,vr social servic inc
311191776,OHIO ACADEMY OF FAMILY PHYSICIANS FOUNDATION,0,ohio academy family physicians foundation,ohio academi famili physician foundat
571201655,HOCKLEY FAMILY LIFE INC,0,hockley family life inc,hockley famili life inc
870543219,SOUTH VALLEY SANCTUARY INC,0,south valley sanctuary inc,south valley sanctuari inc
452661888,EAGLES SANCTUARY INC,0,eagles sanctuary inc,eagl sanctuari inc
990340803,HAWAII REMOTE VIEWERS GUILD INCORPORATED,0,hawaii remote viewers guild incorporated,hawaii remot viewer guild incorpor
203888970,SPARKS GLENCOE COMMUNITY PLANNING COUNCIL INC,0,sparks glencoe community planning council inc,spark glenco commun plan council inc
562017653,FIRST IMAGE,0,first image,first imag
160870219,TELLURIDE ASSOCIATION INC,0,telluride association inc,tellurid associ inc
363122824,QUAD CITY ARTS INC,0,quad city arts inc,quad citi art inc
274568835,CARRY THE LOAD,0,carry load,carri load
743069230,BREAKING BOUNDARIES INC,0,breaking boundaries inc,break boundari inc
461690667,CHATHAM ELEMENTARY PTO,0,chatham elementary pto,chatham elementari pto
352190541,NORTHSIDE ARTS COLLECTIVE,0,northside arts collective,northsid art collect
760574835,CHRISTIAN ALLIANCE FOR HUMANITARIAN AID INC,0,christian alliance humanitarian aid inc,christian allianc humanitarian aid inc
451211005,SHININGCARE INC COMPASS CARE SERVICES,0,shiningcare inc compass care services,shiningcar inc compass care servic
223059020,PEPPERELL YOUTH SOCCER LEAGUE,0,pepperell youth soccer league,pepperel youth soccer leagu
363796181,HAMILTON SENIOR CENTER INC,0,hamilton senior center inc,hamilton senior center inc
161718587,TREES GREENVILLE INC,0,trees greenville inc,tree greenvil inc
311162802,WORTHINGTON FIELD STUDIES INC,0,worthington field studies inc,worthington field studi inc
132600799,TRABAJAMOS COMMUNITY HEADSTART INC,0,trabajamos community headstart inc,trabajamo commun headstart inc
341493442,BEDFORD COUNSELING CENTER INC NEW SOURCE COUNSELING CENTERS,0,bedford counseling center inc new source counseling centers,bedford counsel center inc new sourc counsel center
223534964,STANLEY W MARCZYK SCHOLARSHIP FUND,0,stanley w marczyk scholarship fund,stanley w marczyk scholarship fund
131624015,BOY SCOUTS OF AMERICA 640 GREATER NEW YORK COUNCILS,0,boy scouts america greater new york councils,boy scout america greater new york council
431961609,PERRY ABERNATHY RECREATION CENTER,0,perry abernathy recreation center,perri abernathi recreat center
200001313,GARDEN WRITERS ASSOCIATION FOUNDATION INC,0,garden writers association foundation inc,garden writer associ foundat inc
742815141,CHINA SPRING ATHLETIC BOOSTER CLUB,0,china spring athletic booster club,china spring athlet booster club
561600798,DARE COUNTY ASSOCIATION OF FIRE OFFICERS,0,dare county association fire officers,dare counti associ fire offic
264655298,SAN DIEGO NEIGHBORHOOD HOMESCHOOLS INCORPORATED,0,san diego neighborhood homeschools incorporated,san diego neighborhood homeschool incorpor
462066545,UNIV OF FLA STUDENT CHAPTER OF ASSN OF SHELTER VETERINARIANS INC,0,univ fla student chapter assn shelter veterinarians inc,univ fla student chapter assn shelter veterinarian inc
453215312,PORTSMOUTH HOSPITAL CORPORATION,0,portsmouth hospital corporation,portsmouth hospit corpor
351544787,VOICES INC,0,voices inc,voic inc
680038804,RITE OF PASSAGE ADOLESCENT TREATMENT CENTERS AND SCHOOLS INC ROB IRVIN,0,rite passage adolescent treatment centers schools inc rob irvin,rite passag adolesc treatment center school inc rob irvin
391403784,FAMILY ADVOCATES INC,0,family advocates inc,famili advoc inc
263655394,DIOCESIS DE CRISTO REY DIOCESIS DE CRISTO REY,0,diocesis de cristo rey diocesis de cristo rey,diocesi de cristo rey diocesi de cristo rey
208782528,211 NORTHEAST MICHIGAN,0,northeast michigan,northeast michigan
341282499,BALLET WESTERN RESERVE INC,0,ballet western reserve inc,ballet western reserv inc
232552699,GOVERNOR MIFFLIN SOCCER CLUB,0,governor mifflin soccer club,governor mifflin soccer club
593672786,ARC GATEWAY FOUNDATION INC,0,arc gateway foundation inc,arc gateway foundat inc
463872851,NEW MUSIC CONFLAGRATION INC,0,new music conflagration inc,new music conflagr inc
510641320,DIOCESE OF THE WILMINGTON INC DIOCESE OF THE WILMINGTON INC,0,diocese wilmington inc diocese wilmington inc,dioces wilmington inc dioces wilmington inc
141936188,KINGDOM COME,0,kingdom come,kingdom come
450910491,MEN OF IRON,0,men iron,men iron
453058039,NEW DAWN CHARTER HIGH SCHOOL NEW DAWN,0,new dawn charter high school new dawn,new dawn charter high school new dawn
43704983,EMPRESA PERFORMING ARTS FOUNDATION,0,empresa performing arts foundation,empresa perform art foundat
351949756,GENE STRATTON PORTER MEMORIAL SOCIETY INC,0,gene stratton porter memorial society inc,gene stratton porter memori societi inc
30302667,COLCHESTER YOUTH BASEBALL LEAGUE INC,0,colchester youth baseball league inc,colchest youth basebal leagu inc
351528285,FOOD BANK OF NORTHWEST INDIANA INC,0,food bank northwest indiana inc,food bank northwest indiana inc
