ein,Org Name,label,source
946108913,LONE HILL ASSEMBLY OF GOD OF SAN JOSE,0,bay
680402629,AMERICAN MARKETING ASSOCIATION INC,0,bay
770133938,SANTA CLARA COUNTY HISTORICAL PHARMACY ASSOCIATION,0,bay
943053089,CHUANGS FOUNDATION,1,bay
943144481,FREMONT EDUCATION FOUNDATION,0,bay
770241337,GRUPO DE CARNAVAL CULTURAL PORTUGUES DE SAO JOSE,1,bay
770281513,COUNTRYWIDE AFFORDABLE REAL ESTATE CARE,0,bay
770143865,INDUSTRY INITIATIVES FOR SCIENCE AND MATH EDUCATION,0,bay
770165366,ALUM ROCK BUSINESS ASSOCIATION INC,0,bay
371265930,SOCIETY FOR STUDIES OF JAPANESE AGGRESSION AGAINST CHINA,1,bay
770291909,BLOSSOM VALLEY PONY BASEBALL,0,bay
770138290,MORE THAN ENOUGH MINISTRIES INC,0,bay
770304056,SAN JOSE NEIGHBORS THAT CARE INC,0,bay
770260617,SANTA CLARA COUNTY BENCH AND BAR HISTORICAL SOCIETY,0,bay
770310102,SOUTH SAN JOSE SOFTBALL,0,bay
770211532,AMITABHA BUDDHIST SOCIETY OF USA,1,bay
770299989,CELEBRATION CHRISTIAN COMMUNITY CHURCH,0,bay
770301288,CHALLENGE LEARNING CENTER,0,bay
770154742,QUEST VALLEY CHARITIES INC,0,bay
770293619,OVERCOMERS FELLOWSHIP CHURCH,0,bay
770297680,TROPICAL RAINFOREST COALITION OF THE SOUTH BAY,0,bay
770162235,INTERFAITH PEACE COALITION,1,bay
770149462,EXODUS PRISON MINISTRIES INC,0,bay
770317154,LAS MADRES NEIGHBORHOOD PLAYGROUPS,0,bay
770313505,PROTECTION OF THE MOST-HOLY BIRTHGIVER GOD SERBIAN ORTHODOX CH,1,bay
770304057,MASTERS STAGE,0,bay
770289460,A TYPICAL INFANT MOTIVATION INC,0,bay
680280543,JAPANTOWN CULTURAL SOCIETY,1,bay
770131953,LAMPTEY SPORTS FOUNDATION,0,bay
770304794,BUILDERS EXCHANGE OF SANTA CLARA COUNTY SCHOLARSHIP FUND,0,bay
942992416,GOLDEN GATE CANVAS WORKERS CHAPTER OF THE AMERICAN NEEDLEPOINT GUILD,0,bay
770308907,DHARMAPALA INSTITUTE FOR BUDDHIST MEDITATION & RESEARCH,1,bay
770313103,FRIENDS OF BOLIVIA INC,1,bay
942702183,SOCIETY OF WOMEN ENGINEERS,0,bay
770252447,AVENIDA ESPANA HDC INC,1,bay
770290646,SAMOAN COMMUNITY DEVELOPMENT CENTER INCORPORATED,1,bay
770307816,THE MILPITAS FOUNDATION FOR EDUCATION,0,bay
770069984,VIET-AMERICAN FOUNDATION,1,bay
770307201,S P G HOUSING INC,0,bay
680260309,HISTORIC PATTERSON HOUSE FOUNDATION,0,bay
330520623,KINGDOM GOSEPL CENTER INC,0,bay
770268671,CHINESE SOFTWARE PROFESSIONAL ASSOCIATION,1,bay
770184307,HISPANIC DEVELOPMENT CORPORATION,1,bay
943133614,LIVING WORD CHRISTIAN FELLOWSHIP,0,bay
942663548,WEST VALLEY YOUTH SOCCER LEAGUE,0,bay
770287771,KINGS ACADEMY,0,bay
943133003,FREMONT FRIENDS OF THE LIBRARY,0,bay
330557106,LEADERSHIP EXCELLANCE INC,0,bay
770292810,CHURCH OF CHRIST OF SANTA CLARA,0,bay
946642912,DONALD N PARODI MEMORIAL CHARITABLE TR 060190,0,bay
770288041,STEVENS CREEK PARENT TEACHER ORGANIZATION,0,bay
943140622,U S A SHIN YAT TONG MORAL SOCIETY INC,1,bay
680112902,PRO BONO PROJECT SILICON VALLEY,0,bay
770037370,SAN JOSE THE LORDS BAPTIST CHURCH,0,bay
943112276,IN CHRIST CHRISTIAN CENTER,0,bay
770275784,PAO HUA FOUNDATION,1,bay
770143125,VOLUNTEER CENTER OF SILICON VALLEY INC,0,bay
954314022,GREAT COMMISSION CENTER INTERNATIONAL,0,bay
770167702,AUTUMN WONDERLAND,0,bay
770267255,VICTORIAN PRESERVATION ASSOCIATION OF SANTA CLARA VALLEY,0,bay
770136497,OHLONE COLLEGE DEVELOPMENT FOUNDATION,0,bay
770250393,CUPERTINO CHINESE SCHOOL,1,bay
943142407,UNIVERSAL UNITY INCORPORATED,0,bay
770288042,CUPERTINO ROTARY ENDOWMENT FOUNDATION,0,bay
770123939,SAN JOSE MUSEUM OF QUILTS & TEXTILES,0,bay
770102305,JUAN DIEGO SOCIETY INCORPORATED,1,bay
770282471,THE ROGER MALTBIE CLASSIC,0,bay
770255756,SILICON VALLEY ENGINEERING COUNCIL,0,bay
770246257,VIETNAM VETERANS UNITED FOR AID & ASSISTANCE,1,bay
770279863,708 RIVERHOUSE INC,0,bay
510156642,NEW VENTURE CHURCH,0,bay
770576468,YOUNG ENTREPRENEURS ORGANIZATION,0,bay
942552155,WEST VALLEY TRACK CLUB INC,0,bay
770154535,HEART OF THE VALLEY SERVICES FOR SENIORS INC,0,bay
770301040,STROKE NEUROSCIENCE FOUNDATION OF SAN JOSE,0,bay
943048933,AFGHAN CENTER,1,bay
770090129,PEOPLE ACTING IN COMMUNITY TOGETHER INC,0,bay
330497418,F-4 PHANTOM II SOCIETY INC,0,bay
770294091,COMMUNITY CHURCH OF SANTA CLARA VALLEY,0,bay
770263051,DAKAN COMMUNITY SERVICES,0,bay
943231221,US LACROSSE INC,0,bay
941727235,SAN JOSE CHRISTIAN COMMUNITY CHURCH,0,bay
770296470,GLAD TIDINGS CHRISTIANS CHINESE MISSION,0,bay
770033984,EAST SANTA CLARA STREET REVITALIZA TION ASSOCIATION,0,bay
770274675,LOIS SAKAMOTO MINISTRIES,1,bay
770129549,RADIANT LIFE ACADEMY,0,bay
770285058,TABERNACULO APOSTOLICO,1,bay
770275311,CUPERTINO GIRLS SOFTBALL LEAGUE,0,bay
943111127,CHRISTIAN RESPONSE NETWORK OF THE EAST BAY GREATER TRI CITY AREA,0,bay
943118070,CENTRAL COAST RAILWAY CLUB INC,0,bay
770128182,SAN JOSE CHAMBER MUSIC SOCIETY,0,bay
770291191,MENLO-ATHERTON HIGH SCHOOL ALUMNI ASSOCIATION,0,bay
770199457,EVELYN S COX CHILD DEVELOPMENT CENTER,0,bay
770339413,TYRANNUS INTERNATIONAL,0,bay
770298497,ONNURI PRESBYTERIAN CHURCH,1,bay
943181966,BAY AREA CHRISTIAN BIBLE FELLOWSHIP CHURCH INCORPORATED,0,bay
943179233,BAYANIHAN MOVEMENT INC,1,bay
770310296,CAMBODIAN EVANGELICAL CHRISTIAN CHURCH,1,bay
770329569,RINCON DE LOS ESTEROS INC,0,bay
770342669,LINCOLN LAW SCHOOL OF SAN JOSE,0,bay
943069087,TOP FLIGHT PARENT CLUB,0,bay
770223719,SEARCH FINDERS OF CALIFORNIA INC,0,bay
770334032,EVERGREEN VALLEY RETIRED TEACHERS SCHOLARSHIP FOUNDATION,0,bay
60937353,RESEARCH LIBRARIES GROUP INC,0,bay
770315474,SAN JOSE LIGHT-HOUSE PRESBYTERIAN CHURCH,0,bay
330320306,MOUNTAIN MAN INDUSTRIES,0,bay
770335112,CHURCH OF THE CHIMES CHRISTIAN EDUCATION CORPORATION,0,bay
943170119,CHRISTIANS IN ACTION MINISTRIES,0,bay
946006426,SANTA CLARA SISTER CITIES ASSOCIATION,0,bay
770338934,TRAVELERS AID SERVICES OF SANTA CLARA COUNTY,0,bay
223122761,HELP THEM GROW INC,0,bay
770323348,REACHING OUT INC,0,bay
770334262,FRIENDS OF STEVENS CREEK TRAIL,0,bay
953436257,SOCIETY OF AUSTRALASIAN SPECIALTIES OCEANIA,1,bay
770332016,MCKENNA FAMILY FOUNDATION,0,bay
770342041,CALIFORNIA PUBLIC SAFETY,0,bay
770341269,GEORGE LEE FOUNDATION,0,bay
770339357,MORELAND EDUCATIONAL FOUNDATION,0,bay
770310778,DOROTHY L GRIEST CHARITABLE FOUNDATION,0,bay
954400207,HOCHI INSTITUTE,1,bay
942826749,CENTER FOR BIBLICAL COUNSELING,0,bay
770182938,N A MOTHRUST FOUNDATION,0,bay
942650583,CHURCH OF SCIENTOLOGY OF LOS GATOS,0,bay
900115967,EARTHSAVE INTERNATIONAL,0,bay
942478723,CHURCH OF SCIENTOLOGY OF MOUNTAIN VIEW,0,bay
770295714,SILICON VALLEY EOS-ESD SOCIETY,0,bay
770389584,CITIZENS COMMISSION ON HUMAN RIGHTS,0,bay
941695341,CHURCH OF SCIENTOLOGY OF STEVENS CREEK,0,bay
770076633,PACIFIC SCRIBES,0,bay
912088078,CITIZEN COMISSION ON HUMAN RIGHTS,0,bay
421541454,CHURCH OF SCIENTOLOGY,0,bay
770182536,CUPERTINO CONSERVATION CENTER INC,0,bay
770326840,FOR THOSE IN PAIN INC,0,bay
770353437,PHILIPPINE-AMERICAN BAPTIST CHURCH,1,bay
770337745,SUNNYVALE CHAMBER OF COMMERCE FOUNDATION FOR LEADERSHIP & EDUCAT,0,bay
770344986,IN-REACH MINISTRIES INC,0,bay
943167314,EL CAMINO HOSPITAL,0,bay
770310633,REDWOOD BLUEGRASS ASSOCIATES,0,bay
770205725,YOUTH FOCUS INC,0,bay
943174715,RECYCLE BOOSTERS CLUB,0,bay
770325270,WORKSTATION INC A PERMANENT IN-HOME EMPLOYMENT AGENCY FOR THE DISABLED,0,bay
770304061,LIGHT OF THE WORLD MINISTRIES,0,bay
943169004,MIDRASHA AT FREMONT JEWISH COMMUNITY HIGH SCHOOL,1,bay
943148595,SANT SARWAN DASS CHARITABLE ORGANIZATION,1,bay
770309144,TRUST OF THE ASSOCIATES FOR RELIGIOUS EXERCISE,0,bay
943165640,BE A MENTOR INC,0,bay
770261342,ALTMAN-ARONOW CHARITABLE FOUNDATION,1,bay
770322994,BERRYESSA EDUCATION FOUNDATION,0,bay
770323115,THE UNITY CARE GROUP,0,bay
770178828,NORTHERN CALIFORNIA AND NORTHERN NEVADA SOUND AND COMMUNICATION,0,bay
770316028,SAN JOSE LEADERSHIP COUNCIL,0,bay
770269729,THE SAN JOSE SPORTS AUTHORITY,0,bay
954378885,FORERUNNER CHRISTIAN CHURCH,0,bay
770318367,BAY AREA CHAPTER ASORN,0,bay
943017956,JUST US MOTIVATED PARENTS JUMP,0,bay
770206286,MOUNTIAN VIEW COMMUNITY TELEVISION,0,bay
770318373,ULTIMATE JOURNEY INCORPORATED,0,bay
770328720,ROTACARE INTERNATIONAL INC,0,bay
770269730,SAN JOSE ARENA AUTHORITY,0,bay
770287540,NORTHERN CALIFORNIA VELODROME ASSOCIATION,0,bay
943167238,THE CHILDRENS FUND OF THE BAY AREA,0,bay
770335126,PENINSULA YOUTH THEATRE,0,bay
943080991,GROUP 70,0,bay
942751116,ACTIVE LEARNING IN THE ARTS INC,0,bay
770553635,NATIONAL JUNIOR BASKETBALL,0,bay
770324315,SAN JOSE KENDO DOJO,1,bay
133698207,SINDHI ASSOCIATION OF NORTH AMERICA INC,1,bay
770187564,VO-VI FRIENDSHIP ASSOCIATION OF NORTHERN CALIFORNIA,1,bay
770183225,HANDSNET INCORPORATED,0,bay
770275182,KUNG MERN SERN TAU YEN INC,1,bay
770177576,ALMADEN GYMNASTICS BOOSTERS,0,bay
770325599,DAVIDSON FAMILY FOUNDATION,0,bay
943176545,TODAYS YOUTH MATTER,0,bay
770345035,CATHOLIC CHURCH OF ANTIOCH MALABAR RITE INC,0,bay
770309727,AGAPE COMMUNITY SERVICES,0,bay
