ein,Org Name,label,source
770229683,LYNBROOK VALKYRIES BOOSTERS ASSOCIATION,0,bay
941160938,BELLARMINE COLLEGE PREPARATORY UNITED STATES CATHOLIC CONFERENCE,0,bay
237121896,FREMONT PARENTS NURSERY SCHOOL INC,0,bay
432062221,GATEWAY TO LOVE MINISTRIES,0,bay
770044688,TOASTMASTERS INTERNATIONAL,0,bay
770448800,MT HAMILTON YOUTH SOCCER LEAGUE,0,bay
770221852,AMERICAN INNS OF COURT FOUNDATION,0,bay
941186196,YOUNG WOMENS CHRISTIAN ASSOCIATION IN SANTA CLARA VALLEY,0,bay
946173417,DIME PUBLISHERS,0,bay
770013538,TOASTMASTERS INTERNATIONAL,0,bay
470931220,YOUTH ADVANCEMENT ASSOCIATION,0,bay
943119012,POSITIVE RESOURCES OF SANTA CLARA COUNTY,0,bay
911846806,FATHER MATTERS INC,0,bay
770323115,THE UNITY CARE GROUP,0,bay
161631532,LIVING TRADITIONS POTTERY FOUNDATION,0,bay
941719482,NATIONAL COUNCIL ON ALCOHOLISM SANTA CLARA COUNTY,0,bay
770230503,ROLE MODEL PROGRAM,0,bay
770407068,JT RESIDENTIAL CARE FACILITIES INC,0,bay
770471397,PENINSULA EDUCATIONAL INSTITUTE,0,bay
134257132,DEL MAR DONS SPORTS ASSOCIATION,0,bay
237012809,LITTLE LEAGUE BASEBALL INC,0,bay
593737990,EQUAL AT AVAYA,0,bay
942320274,NEW COMMUNITY OF FAITH,0,bay
942877121,THE LORDS GRACE CHRISTIAN CHURCH,0,bay
941254641,EASTFIELD MING QUONG INC,0,bay
946123493,VOICES OF CALVARY EVANGELISTIC ASSOCIATION,0,bay
942746229,FREMONT FOURSQUARE CHURCH,0,bay
161616114,BAYLIGHT CHURCH COMMUNITY,0,bay
912157616,INSULIN PUMPERS FOUNDATION,0,bay
731671827,SACRED LOGOS RESOURCE CENTER,0,bay
770225138,PTA CALIFORNIA CONGRESS OF PARENTS TEACHERS & STUDENTS,0,bay
942465120,BAY AREA EMERGENCY RADIO CORP,0,bay
30563279,EMPOWERING WORD MINISTRY,0,bay
770578845,PHILLIS FOUNDATION,0,bay
770173924,HOUSING FOR INDEPENDENT PEOPLE HOUSING TRUST,0,bay
770123939,SAN JOSE MUSEUM OF QUILTS & TEXTILES,0,bay
942967418,MISSION SAN JOSE HIGH SCHOOL PARENT AND FACULTY CLUB,0,bay
941710831,FIRST IMMANUEL LUTHERAN CHURCH,0,bay
770542265,MISSION CITY CHARITIES INC,0,bay
942202153,CHILD FAMILY AND COMMUNITY SERVICES INC,0,bay
770396348,CORKY & MARKS AIDS WISH ASSOCIATION,0,bay
770532250,AGILENT TECHNOLOGIES FOUNDATION,0,bay
202157740,ACCESS TO ACHIEVEMENT EDUCATION FOUNDATION,0,bay
770289381,REBUILDING TOGETHER SILICON VALLEY,0,bay
522223414,LIGHTPOST MUSEUM FUND INC,0,bay
200428766,DE ANZA FORCE SOCCER CLUB INC,0,bay
770329569,RINCON DE LOS ESTEROS INC,0,bay
770133938,SANTA CLARA COUNTY HISTORICAL PHARMACY ASSOCIATION,0,bay
942807095,LA SALLE SISTERS,0,bay
